Discount_Bin,Actual_Sales,Linear_Predicted,Neural_Predicted,Linear_Error,Neural_Error,Linear_Pct_Error,Neural_Pct_Error,Linear_Win_Rate,Neural_Win_Rate
0-5%,232.0,11186.850437223911,11186.850437223911,4.22665210545063,4.22665210545063,38238979.955154896,38238979.955154896,0.0,100.0
5-10%,149.0,479.4310574531555,479.4310574531555,8.375022667210276,8.375022667210276,293.56262888317855,293.56262888317855,0.0,100.0
10-15%,361.0,800.4790639877319,800.4790639877319,6.507024544256705,6.507024544256705,198.0406170236083,198.0406170236083,0.0,100.0
15-20%,966.0,1866.975659392774,1866.975659392774,6.834769756567699,6.834769756567699,209.74044044917522,209.74044044917522,0.0,100.0
20-30%,7719.0,8453.731437556446,8453.731437556446,7.811450604847028,7.811450604847028,155.88266135798054,155.88266135798054,0.0,100.0
30-40%,13783.0,12244.082052282989,12244.082052282989,8.115730332172463,8.115730332172463,130.67977348923247,130.67977348923247,0.0,100.0
40%+,5133.0,5556.949385881424,5556.949385881424,5.270302690008412,5.270302690008412,57941.54299892314,57941.54299892314,0.0,100.0
