KEY,DATE,Actual_Sales,Predicted_Sales,Raw_Prediction,Absolute_Error,Percent_Error,DISCOUNT,is_eoss,Discount_Bin
KARNATAKA_BANGALORE_EBO_EBO_OFFLINE_MEN_RARE RABBIT_APPARELS_SHIRT_BEIGE_FULL SLEEVE,2025-01-05,116.0,57.026615142822266,57.026615142822266,58.973384857177734,50.83912049419455,0.3015201354150876,1.0,30-40%
KARNATAKA_BANGALORE_EBO_EBO_OFFLINE_MEN_RARE RABBIT_APPARELS_SHIRT_BEIGE_FULL SLEEVE,2025-01-12,81.0,57.35641098022461,57.35641098022461,23.64358901977539,29.18961247014092,0.355958333703135,1.0,30-40%
KARNATAKA_BANGALORE_EBO_EBO_OFFLINE_MEN_RARE RABBIT_APPARELS_SHIRT_BEIGE_FULL SLEEVE,2025-01-19,92.0,56.910884857177734,56.910884857177734,35.089115142822266,38.14033840085698,0.3730061366682543,1.0,30-40%
KARNATAKA_BANGALORE_EBO_EBO_OFFLINE_MEN_RARE RABBIT_APPARELS_SHIRT_BEIGE_FULL SLEEVE,2025-01-26,92.0,57.85910415649414,57.85910415649414,34.14089584350586,37.10966536145578,0.4409874048918885,1.0,40%+
KARNATAKA_BANGALORE_EBO_EBO_OFFLINE_MEN_RARE RABBIT_APPARELS_SHIRT_BEIGE_FULL SLEEVE,2025-02-02,42.0,58.14272689819336,58.14272689819336,16.14272689819336,38.435054892113975,0.2745455470555136,1.0,20-30%
KARNATAKA_BANGALORE_EBO_EBO_OFFLINE_MEN_RARE RABBIT_APPARELS_SHIRT_BEIGE_FULL SLEEVE,2025-02-09,31.0,57.04481887817383,57.04481887817383,26.044818878173828,84.01551766652278,0.3237161779903295,0.0,30-40%
KARNATAKA_BANGALORE_EBO_EBO_OFFLINE_MEN_RARE RABBIT_APPARELS_SHIRT_BEIGE_FULL SLEEVE,2025-02-16,7.0,57.09465026855469,57.09465026855469,50.09465026855469,715.6368386410118,0.2616495701914165,0.0,20-30%
KARNATAKA_BANGALORE_EBO_EBO_OFFLINE_MEN_RARE RABBIT_APPARELS_POLO_YELLOW_SHORT_SLEEVE,2024-12-22,7.0,6.639816761016846,6.639816761016846,0.3601832389831543,5.1454674919486445,0.3840525781665297,1.0,30-40%
KARNATAKA_BANGALORE_EBO_EBO_OFFLINE_MEN_RARE RABBIT_APPARELS_POLO_YELLOW_SHORT_SLEEVE,2024-12-29,2.0,6.507557392120361,6.507557392120361,4.507557392120361,225.37674272230444,0.4857091818506609,1.0,40%+
KARNATAKA_BANGALORE_EBO_EBO_OFFLINE_MEN_RARE RABBIT_APPARELS_POLO_YELLOW_SHORT_SLEEVE,2025-01-05,4.0,6.192307472229004,6.192307472229004,2.192307472229004,54.80754978685064,0.1018188432157148,1.0,10-15%
KARNATAKA_BANGALORE_EBO_EBO_OFFLINE_MEN_RARE RABBIT_APPARELS_POLO_YELLOW_SHORT_SLEEVE,2025-01-12,9.0,5.875911235809326,5.875911235809326,3.124088764190674,34.71205881094214,0.3067053126435969,1.0,30-40%
KARNATAKA_BANGALORE_EBO_EBO_OFFLINE_MEN_RARE RABBIT_APPARELS_POLO_YELLOW_SHORT_SLEEVE,2025-01-19,5.0,5.857253074645996,5.857253074645996,0.8572530746459961,17.145027202865517,0.4428581150051037,1.0,40%+
KARNATAKA_BANGALORE_EBO_EBO_OFFLINE_MEN_RARE RABBIT_APPARELS_POLO_YELLOW_SHORT_SLEEVE,2025-01-26,5.0,5.616501808166504,5.616501808166504,0.6165018081665039,12.330011503307073,0.3310313901345291,1.0,30-40%
KARNATAKA_BANGALORE_EBO_EBO_OFFLINE_MEN_RARE RABBIT_APPARELS_POLO_YELLOW_SHORT_SLEEVE,2025-02-02,3.0,5.435503005981445,5.435503005981445,2.4355030059814453,81.18316292217177,0.1538529185445751,1.0,15-20%
KARNATAKA_BANGALORE_EBO_EBO_OFFLINE_MEN_RARE RABBIT_APPARELS_POLO_YELLOW_SHORT_SLEEVE,2025-02-09,4.0,5.135769367218018,5.135769367218018,1.1357693672180176,28.394163195042456,0.4489080363147276,0.0,40%+
KARNATAKA_BANGALORE_EBO_EBO_OFFLINE_MEN_RARE RABBIT_APPARELS_POLO_YELLOW_SHORT_SLEEVE,2025-02-16,1.0,4.9058942794799805,4.9058942794799805,3.9058942794799805,390.5855220927771,0.1999999999999999,0.0,15-20%
KARNATAKA_BANGALORE_EBO_EBO_OFFLINE_MEN_RARE RABBIT_APPARELS_POLO_WHITE_SHORT_SLEEVE,2024-12-22,31.0,22.69863510131836,22.69863510131836,8.30136489868164,26.778587809105996,0.2737631616430551,1.0,20-30%
KARNATAKA_BANGALORE_EBO_EBO_OFFLINE_MEN_RARE RABBIT_APPARELS_POLO_WHITE_SHORT_SLEEVE,2024-12-29,54.0,22.61394500732422,22.61394500732422,31.38605499267578,58.122313297119355,0.2954282892796224,1.0,20-30%
KARNATAKA_BANGALORE_EBO_EBO_OFFLINE_MEN_RARE RABBIT_APPARELS_POLO_WHITE_SHORT_SLEEVE,2025-01-05,29.0,21.898401260375977,21.898401260375977,7.101598739624023,24.48826307171626,0.3262640833342903,1.0,30-40%
KARNATAKA_BANGALORE_EBO_EBO_OFFLINE_MEN_RARE RABBIT_APPARELS_POLO_WHITE_SHORT_SLEEVE,2025-01-12,23.0,21.574901580810547,21.574901580810547,1.4250984191894531,6.196077389485714,0.4423776629001021,1.0,40%+
KARNATAKA_BANGALORE_EBO_EBO_OFFLINE_MEN_RARE RABBIT_APPARELS_POLO_WHITE_SHORT_SLEEVE,2025-01-19,28.0,21.566452026367188,21.566452026367188,6.4335479736328125,22.97694884263546,0.3959291738547057,1.0,30-40%
KARNATAKA_BANGALORE_EBO_EBO_OFFLINE_MEN_RARE RABBIT_APPARELS_POLO_WHITE_SHORT_SLEEVE,2025-01-26,30.0,21.53567886352539,21.53567886352539,8.46432113647461,28.214394383450568,0.4034511338782088,1.0,40%+
KARNATAKA_BANGALORE_EBO_EBO_OFFLINE_MEN_RARE RABBIT_APPARELS_POLO_WHITE_SHORT_SLEEVE,2025-02-02,18.0,21.529190063476562,21.529190063476562,3.5291900634765625,19.606600571202808,0.3605938750445703,1.0,30-40%
KARNATAKA_BANGALORE_EBO_EBO_OFFLINE_MEN_RARE RABBIT_APPARELS_POLO_WHITE_SHORT_SLEEVE,2025-02-09,11.0,20.84014320373535,20.84014320373535,9.840143203735352,89.45576598326139,0.2390541300423214,0.0,20-30%
KARNATAKA_BANGALORE_EBO_EBO_OFFLINE_MEN_RARE RABBIT_APPARELS_POLO_WHITE_SHORT_SLEEVE,2025-02-16,6.0,20.47003746032715,20.47003746032715,14.470037460327148,241.16688906063737,0.0370384092873903,0.0,0-5%
KARNATAKA_BANGALORE_EBO_EBO_OFFLINE_MEN_RARE RABBIT_APPARELS_TROUSER_BLACK_nan,2024-12-22,3.0,5.413674354553223,5.413674354553223,2.4136743545532227,80.4555436332953,0.2499958322914062,1.0,20-30%
KARNATAKA_BANGALORE_EBO_EBO_OFFLINE_MEN_RARE RABBIT_APPARELS_TROUSER_BLACK_nan,2024-12-29,9.0,5.0525689125061035,5.0525689125061035,3.9474310874938965,43.860296682935875,0.3333366673811054,1.0,30-40%
KARNATAKA_BANGALORE_EBO_EBO_OFFLINE_MEN_RARE RABBIT_APPARELS_TROUSER_BLACK_nan,2025-01-05,5.0,5.040537357330322,5.040537357330322,0.040537357330322266,0.8107455251153951,0.6000100025006251,1.0,40%+
KARNATAKA_BANGALORE_EBO_EBO_OFFLINE_MEN_RARE RABBIT_APPARELS_TROUSER_BLACK_nan,2025-01-12,5.0,4.687381267547607,4.687381267547607,0.3126187324523926,6.252362144323563,0.379591753419065,1.0,30-40%
KARNATAKA_BANGALORE_EBO_EBO_OFFLINE_MEN_RARE RABBIT_APPARELS_TROUSER_BLACK_nan,2025-01-19,4.0,4.529140472412109,4.529140472412109,0.5291404724121094,13.228478739105887,0.3230765285186705,1.0,30-40%
KARNATAKA_BANGALORE_EBO_EBO_OFFLINE_MEN_RARE RABBIT_APPARELS_TROUSER_BLACK_nan,2025-01-26,7.0,4.26832389831543,4.26832389831543,2.7316761016845703,39.02388856136735,0.5046822742474917,1.0,40%+
KARNATAKA_BANGALORE_EBO_EBO_OFFLINE_MEN_RARE RABBIT_APPARELS_TROUSER_BLACK_nan,2025-02-02,4.0,3.91398024559021,3.91398024559021,0.08601975440979004,2.150488484023541,0.2677634455618715,1.0,20-30%
